Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location
1500,-35.418312,149.11557,BEATTIE CR AFTER GOLDSTEIN CR,CHISHOLM,"(-35.418312, 149.11557)"
1521,-35.396854,149.104095,LONGMORE CR AFTER HARKER PL,WANNIASSA,"(-35.396854, 149.104095)"
1522,-35.397308,149.104156,LONGMORE CR 4TH AFTER GAUNSON ST,WANNIASSA,"(-35.397308, 149.104156)"
1519,-35.398785,149.102921,LONGMORE CR AFTER PETIT PL,WANNIASSA,"(-35.398785, 149.102921)"
1520,-35.398918,149.102814,LONGMORE CR BEFORE PETTIT PL,WANNIASSA,"(-35.398918, 149.102814)"
1493,-35.426308,149.112473,CLIFT CR AFTER HEAGNEY CR,RICHARDSON,"(-35.426308, 149.112473)"
1494,-35.425385,149.114075,HEAGNEY CR AFTER CLIFT CR,RICHARDSON,"(-35.425385, 149.114075)"
1491,-35.427624,149.109787,CLIFT CR AFTER ROHAN ST,RICHARDSON,"(-35.427624, 149.109787)"
1492,-35.426281,149.112289,CLIFT CR BEFORE HEAGNEY CR,RICHARDSON,"(-35.426281, 149.112289)"
1475,-35.397537,149.090164,KIRKTON ST AFTER BALFOUR CR,WANNIASSA,"(-35.397537, 149.090164)"
1476,-35.39727,149.094788,KIRKTON ST AFTER HOLDEN CR,WANNIASSA,"(-35.39727, 149.094788)"
1473,-35.394653,149.086594,WHEELER CR AFTER GARRATT ST,WANNIASSA,"(-35.394653, 149.086594)"
1474,-35.397469,149.089951,KIRKTON ST AFTER WHEELER CR,WANNIASSA,"(-35.397469, 149.089951)"
1485,-35.388493,149.098297,LONGMORE CR NORTH OF GAUNSON CR,WANNIASSA,"(-35.388493, 149.098297)"
1486,-35.42474,149.104019,CLIFT CR AFTER ASHLEY DR,RICHARDSON,"(-35.42474, 149.104019)"
1477,-35.397308,149.094193,KIRKTON ST AFTER EMBLING ST,WANNIASSA,"(-35.397308, 149.094193)"
1484,-35.388088,149.097977,LONGMORE CR AFTER SAINSBURY ST,WANNIASSA,"(-35.388088, 149.097977)"
1505,-35.414013,149.10939,CASTLETON CR OPP GOWRIE SHOPS,GOWRIE,"(-35.414013, 149.10939)"
1506,-35.412067,149.105804,CASTLETON CR AFTER 2ND WHEATLEY ST,GOWRIE,"(-35.412067, 149.105804)"
1503,-35.41452,149.112869,BUGDEN AV AFTER CASTLETON CR,GOWRIE,"(-35.41452, 149.112869)"
1504,-35.413868,149.109329,CASTLETON CR GOWRIE SHOPS,GOWRIE,"(-35.413868, 149.109329)"
1046,-35.426731,149.074173,BARR SMITH AV AFTER SALAS ST,BONYTHON,"(-35.426731, 149.074173)"
1047,-35.426899,149.074188,BARR SMITH AV AFTER DON DUNSTAN DR,BONYTHON,"(-35.426899, 149.074188)"
1044,-35.434803,149.086151,HURTLE AV AFTER NOARLUNGA CR,BONYTHON,"(-35.434803, 149.086151)"
1045,-35.434727,149.085968,HURTLE AV 2ND AFTER BARDOLPH ST,BONYTHON,"(-35.434727, 149.085968)"
1029,-35.441601,149.100906,DUGGAN ST AFTER THARWA DR,CALWELL,"(-35.441601, 149.100906)"
1030,-35.441601,149.10112,DUGGAN ST AFTER ANDREW CR,CALWELL,"(-35.441601, 149.10112)"
1027,-35.439865,149.098618,DUGGAN ST AFTER DOWNARD ST,CALWELL,"(-35.439865, 149.098618)"
1028,-35.439835,149.09848,DUGGAN ST AFTER BECKETT ST,CALWELL,"(-35.439835, 149.09848)"
1033,-35.447277,149.124619,LAWRENCE WACKETT CR OPP THEODORE PRIMARY SCHOOL,THEODORE,"(-35.447277, 149.124619)"
1034,-35.447346,149.124481,LAWRENCE WACKETT CR THEODORE PS,THEODORE,"(-35.447346, 149.124481)"
1031,-35.444824,149.105713,THARWA DR AFTER FIDGE ST OVERPASS,CALWELL,"(-35.444824, 149.105713)"
1032,-35.444454,149.103989,THARWA DR AFTER FIDGE ST OVERPASS,CALWELL,"(-35.444454, 149.103989)"
1489,-35.426373,149.10704,CLIFT CR 2ND AFTER ROHAN ST,RICHARDSON,"(-35.426373, 149.10704)"
1490,-35.427563,149.109589,CLIFT CR 2ND AFTER KIDDLE CR,RICHARDSON,"(-35.427563, 149.109589)"
1487,-35.424896,149.10405,CLIFT CR 3RD AFTER ROHAN ST,RICHARDSON,"(-35.424896, 149.10405)"
1488,-35.426281,149.107056,CLIFT CR AFTER KIDDLE CR,RICHARDSON,"(-35.426281, 149.107056)"
1019,-35.436661,149.111282,CASEY CR AFTER ROOPE CL,CALWELL,"(-35.436661, 149.111282)"
1020,-35.436859,149.11084,CASEY CR AFTER DOWNARD ST,CALWELL,"(-35.436859, 149.11084)"
1016,-35.428921,149.102844,ELLERSTON AV AFTER ASHLEY DR,ISABELLA PLAINS,"(-35.428921, 149.102844)"
1017,-35.435093,149.113739,WEBBER CR CALWELL SHOPS,CALWELL,"(-35.435093, 149.113739)"
1003,-35.418968,149.120026,HAMBIDGE CR AFTER TRUGANINI PL,CHISHOLM,"(-35.418968, 149.120026)"
1007,-35.42786,149.091034,ELLERSTON AV OPP ISABELLA PLAINS SHOPS,ISABELLA PLAINS,"(-35.42786, 149.091034)"
1001,-35.426113,149.091614,DRUMSTON ST OPP MACKILLOP COLLEGE,ISABELLA PLAINS,"(-35.426113, 149.091614)"
1002,-35.425972,149.091705,DRUMSTON ST MACKILLOP AFTER ISABELLA DR,ISABELLA PLAINS,"(-35.425972, 149.091705)"
1010,-35.425766,149.095459,ELLERSTON AV 2ND AFTER COLLYBURL CR,ISABELLA PLAINS,"(-35.425766, 149.095459)"
